cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
brca,2C_numeric_smiles_context,groupcv,robust_weighted,7730,0.4541064575660098,0.49931216023782,2.2838207817304896,1.7194352349819404,0.24320042725743407,0.33618435386840684,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,holdout,simple_mean,1546,0.7854194242120536,0.8505732430129769,1.3837253539688688,1.0513730497660845,0.7204318358779516,0.9043935742430808,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,holdout,rank_mean,1546,0.7867575513463666,0.7740418936284524,3.50869586522309,3.1038506759198,-0.7975433283856965,0.9056861280430116,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,holdout,robust_weighted,1546,0.7871409658384021,0.851622664890127,1.382272875813566,1.0521642953720267,0.7210184458273201,0.9040230476381738,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,scaffoldcv,simple_mean,7730,0.3555481808966187,0.36654925792547793,2.630487355435995,1.977302428521626,-0.003989738899224937,0.021515976484641052,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,scaffoldcv,rank_mean,7730,0.4311550821518079,0.4413142676741143,3.6550459298533777,3.221648284479071,-0.9383960433293188,0.05358971919763443,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,scaffoldcv,robust_weighted,7730,0.36377956545942236,0.3813503851020364,2.5711716384071117,1.9171082175739307,0.04077834425675442,0.02208878003399592,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,unseen_drug,simple_mean,1459,0.39089535268758124,0.5060392151356188,2.4706505219121278,1.8976812485799226,0.2218995357506902,0.4598855172965363,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,unseen_drug,rank_mean,1459,0.39300167893191895,0.4437681709061418,3.57271279940118,3.105286734001422,-0.6270812865443238,0.35003894394072005,3.0,DL|Graph|ML,,False
brca,2C_numeric_smiles_context,unseen_drug,robust_weighted,1459,0.39802275230664896,0.5106152003183353,2.4590565614858853,1.8826723061029642,0.22918514654407762,0.3863822647072409,3.0,DL|Graph|ML,,False
crc,2A_numeric,cv,simple_mean,9692,0.24497269692439433,0.2527422736983115,2.635081566984968,2.046227311574674,0.06298290996235556,0.023561159254640855,3.0,DL|Graph|ML,,False
crc,2A_numeric,cv,rank_mean,9692,0.24478500800020617,0.2328936566304723,3.74302738988906,3.2594224304559147,-0.8906249991519504,0.022724814627843086,3.0,DL|Graph|ML,,False
crc,2A_numeric,cv,robust_weighted,9692,0.24460553336246577,0.25238209070295237,2.6354399613898387,2.046887497209627,0.06272800740153506,0.021144822299245185,3.0,DL|Graph|ML,,False
crc,2A_numeric,groupcv,simple_mean,9692,0.2504296937223081,0.2562007578974197,2.631350497257348,2.032265919532102,0.06563451745511617,0.022739605501645076,3.0,DL|Graph|ML,,False
crc,2A_numeric,groupcv,rank_mean,9692,0.25065300705452265,0.24050942053939284,3.742357848891318,3.25770914277327,-0.8899486815081181,0.02196649971961664,3.0,DL|Graph|ML,,False
crc,2A_numeric,groupcv,robust_weighted,9692,0.2502301187257519,0.25591808400585453,2.6315532866402553,2.0322107182098805,0.06549049505970805,0.023924423741162135,3.0,DL|Graph|ML,,False
crc,2A_numeric,holdout,simple_mean,1939,0.27158469157874177,0.2769369938392564,2.6003378158759256,2.0058241174354836,0.07531805776828615,0.17899107289567603,3.0,DL|Graph|ML,,False
crc,2A_numeric,holdout,rank_mean,1939,0.2728254153300518,0.26333533789788566,3.732310245623435,3.268459979688087,-0.9049707289433648,0.07453331754932488,3.0,DL|Graph|ML,,False
crc,2A_numeric,holdout,robust_weighted,1939,0.27168062099292534,0.27678634010424646,2.6005930159377644,2.0062269164298407,0.07513655022183274,0.17899107289567603,3.0,DL|Graph|ML,,False
crc,2A_numeric,scaffoldcv,simple_mean,9692,0.23226818406381114,0.24565632523130337,2.639171225858823,2.046087802647505,0.06007214316979337,0.04026679578759459,3.0,DL|Graph|ML,,False
crc,2A_numeric,scaffoldcv,rank_mean,9692,0.23331931051801233,0.22474685354167806,3.744527032377242,3.26216284467711,-0.8921402589968765,0.1171511349974831,3.0,DL|Graph|ML,,False
