cancer,final_rank_by_cancer,final_rank_overall,canonical_drug_id,drug_name,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,fda_approved_cancer_based,fda_approved_gastric_proxy,admet_status_22assay,drug_repurposing_category,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,repurposing_tier3_code,repurposing_tier3_ko,repurposing_tier3_rule,final_priority_score,final_recommendation_tier,admet_tier,ev_composite_0_10
luad,12,12,2107,LJI308,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
luad,13,13,1199,Tamoxifen,0,1,4,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
luad,14,14,1510,Linsitinib,0,1,6,False,False,PASS,indication_expansion_candidate,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_GASTRIC_PROXY_or_CT>=3),legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.1,Hold,D,0.0
luad,15,15,2113,VTP-B,0,1,1,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
stad,1,1,1815,Dacarbazine,2,2,9,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.6200000000000001,Priority 2,D,8.0
stad,2,2,1029,Motesanib,1,0,0,False,False,PASS,indication_expansion_candidate,stage2_evidence_review,2단계 약물,ADMET_PASS_and_not_stage1,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.6200000000000001,Priority 2,D,8.0
stad,3,3,1009,Tretinoin,2,0,0,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.7,Priority 1,B,6.0
stad,4,4,1042,Doramapimod,1,0,0,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.425,Backup,D,5.0
stad,5,5,2439,glutathione,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.4,Backup,C,3.0
stad,6,6,1030,KU-55933,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.4,Backup,C,3.0
stad,7,7,1033,Vismodegib,0,1,3,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.27,Backup,C,1.0
stad,8,8,1549,Sapitinib,0,1,1,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
stad,9,9,1013,Nilotinib,0,1,1,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
stad,10,10,1918,AZD8186,0,1,1,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
stad,11,11,1025,SB216763,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.205,Backup,C,0.0
stad,12,12,1852,LY2109761,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.1,Hold,D,0.0
stad,13,13,1449,AZD1208,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.205,Backup,C,0.0
stad,14,14,1580,GSK2801,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
stad,15,15,1854,MN-64,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
