cancer,rank,canonical_drug_id,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10,n_clinicaltrials_studies_total,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank
luad,16,1510,Linsitinib,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,1,0,0,0,0,0,0,0.5,0.0,6,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,14
luad,29,2113,VTP-B,UNK,1,0,0,0,0,0,0,0.5,0.0,1,CHEMBL6329,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,15
stad,2,1815,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,2,2,0,0,1,2,1,0.0,8.0,9,CHEMBL476,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,6.0,5.829550626987805,23.72881355932203,18.0,,False,,0,61.0,33.33333333333334,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,8.0,0.0,1
stad,6,1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0,1,2,0,2,2,1,0.0,8.0,0,CHEMBL572881,"CHEMBL1936, CHEMBL2041, CHEMBL2095227, CHEMBL2095189",Stem cell growth factor receptor inhibitor (target CHEMBL1936); Tyrosine-protein kinase receptor RET inhibitor (target CHEMBL2041); Vascular endothelial growth factor receptor inhibitor (target CHEMBL2095227); Platelet-derived growth factor receptor inhibitor (target CHEMBL2095189),True,False,,11.0,5.13106261246587,27.671810439328777,23.0,24.0,True,False,0,24.0,72.22222222222223,2.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,2,0,2,0,False,,gdsc|prism,2,True,6.0,2.0,2
stad,7,1009,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0,2,0,0,1,2,1,0.0,6.0,0,CHEMBL705,CHEMBL2363071,Retinoid receptor agonist (target CHEMBL2363071),True,False,,12.0,5.0625006341471845,9.49818703094696,2.0,24.0,False,False,0,49.0,38.8888888888889,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,6.0,0.0,3
stad,5,1042,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0,1,0,0,1,2,1,0.0,5.0,0,CHEMBL103667,CHEMBL260,MAP kinase p38 alpha inhibitor (target CHEMBL260),True,False,,10.0,5.165814099877274,9.596508980521124,24.0,24.0,False,False,0,109.0,44.44444444444444,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,5.0,0.0,4
stad,1,2439,glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0,0,3,0,0,0,0,0.0,3.0,0,CHEMBL145213,,,True,False,,2.0,8.328967972449352,26.214689265536723,22.0,,False,,0,34.0,88.8888888888889,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,0.0,3.0,5
stad,11,1030,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,0,0,3,0,0,0,0,0.0,3.0,0,CHEMBL6329,,,True,False,,21.0,4.835127199052677,36.68901256429716,24.0,24.0,False,False,0,24.0,94.44444444444444,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,0.0,3.0,6
stad,9,1033,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1,0,0,0,0,0,0,0.0,1.0,3,CHEMBL6329,,,True,False,,16.0,4.986135134075577,29.73437895269416,23.0,24.0,False,False,0,48.0,22.222222222222214,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,1.0,0.0,7
stad,19,1549,Sapitinib,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,1,0,0,0,0,0,0,0.0,1.0,1,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,8
stad,23,1013,Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,0,0,0,0,0,0,0.0,1.0,1,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,9
stad,25,1918,AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,0,0,0,0,0,0,0.0,1.0,1,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,10
stad,3,1025,SB216763,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,8.0,5.223351596342501,16.082974955729824,24.0,21.0,False,False,0,24.0,11.111111111111112,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,0.0,0.0,11
stad,4,1852,LY2109761,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,9.0,5.179750528835374,8.587570621468927,20.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,12
