modality,cancer,track,model,eval_mode,combo_dir,config_profile,resume_policy,core_mean_spearman,core_mean_pearson,core_mean_kendall_tau,core_mean_rmse,core_mean_mae,core_mean_r2,overfit_spearman_gap,overfit_fold_std,overfit_train_spearman,overfit_test_spearman,overfit_train_rmse,overfit_test_rmse,ranking_mean_ndcg_at_30,ranking_mean_precision_at_30,split_leakage_drug_overlap_count,split_leakage_scaffold_overlap_count,split_leakage_drug_overlap_rate,split_leakage_scaffold_overlap_rate,label_drift_mean_diff,label_drift_ks_statistic,label_drift_ks_pvalue,imputation_summary_present,imputation_scope,nan_imputation_applied,has_leakage_violation,has_ranking_mean,has_label_drift_mean
ML,luad,2C_numeric_smiles_context,ExtraTrees,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/scaffoldcv,light_resume,fill_missing_only,0.4287771164275023,0.422796072479944,0.29825186280418964,2.562344996535137,1.9328705024922677,0.11866524330694117,0.5257136058294493,0.05262800296096907,0.9544907222569515,0.4287771164275023,0.6345051679343952,2.562344996535137,0.18209578326737264,0.8666666666666667,0.0,0.0,0.0,0.0,-4.38690185546875e-05,0.0941207068551463,9.127519685561636e-89,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,ExtraTrees,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/holdout,light_resume,fill_missing_only,0.8157108892999073,0.8700049660219707,0.6382312495370344,1.3482524769381312,0.9871464034023083,0.7568292555689042,0.14165197190933032,0.0,0.9573628612092376,0.8157108892999073,0.6729595798933775,1.3482524769381312,0.6147746192579623,1.0,295.0,220.0,1.0,1.0,-0.02993011474609375,0.008026118141156835,0.14982826160409668,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,ExtraTrees,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/groupcv,light_resume,fill_missing_only,0.4070916638724338,0.45855188754232373,0.28167198402446325,2.5727058432071406,1.945417192650848,0.12655185769041077,0.5522896590787192,0.045683009538501254,0.959381322951153,0.4070916638724338,0.6625236037590935,2.5727058432071406,0.2682598768688025,0.8666666666666667,0.0,11.0,0.0,0.1389010989010989,0.00010673205057779948,0.04989926983305611,4.1043965493721306e-26,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,ExtraTrees,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/unseen_drug,light_resume,fill_missing_only,0.4228556219731079,0.5059228598118226,0.2978746154145725,2.6039378908133886,1.9017192337446498,0.16644865285379118,0.5357752248676992,0.0,0.9586308468408071,0.4228556219731079,0.5819644567248563,2.6039378908133886,0.4154787212879664,0.8333333333333334,0.0,10.0,0.0,0.20408163265306123,0.2929506301879883,0.05345776503633326,8.748190174842379e-49,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,ExtraTrees,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/ExtraTrees/cv,light_resume,fill_missing_only,0.8129863346335878,0.8684733456514023,0.6356508237098434,1.3678636313440053,0.9994483161076045,0.7542128419850306,0.14567438420715395,0.0024088034651272,0.9586607188407417,0.8129863346335878,0.6623323508947144,1.3678636313440053,0.6371896910285433,1.0,295.0,220.0,1.0,1.0,0.0,0.004448802889330056,0.6450500009263341,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,LightGBM,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/scaffoldcv,light_resume,fill_missing_only,0.4103735662254924,0.4299054000691447,0.2857532379500392,2.5954216681845645,1.983183590894866,0.09056282708224465,0.3941670737438296,0.08852036035649818,0.8045406399693221,0.4103735662254924,1.442527843683034,2.5954216681845645,0.17640315844453938,0.9333333333333332,0.0,0.0,0.0,0.0,-4.38690185546875e-05,0.0941207068551463,9.127519685561636e-89,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,LightGBM,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/holdout,light_resume,fill_missing_only,0.7925990694075497,0.8537380796583214,0.6089924706522115,1.4967800526256512,1.1563603445517046,0.7003013103143979,0.003562424505684114,0.0,0.7961614939132338,0.7925990694075497,1.4986675756552947,1.4967800526256512,0.8264775266556516,1.0,295.0,220.0,1.0,1.0,-0.02993011474609375,0.008026118141156835,0.14982826160409668,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,LightGBM,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/groupcv,light_resume,fill_missing_only,0.4395562592327991,0.4551436704240273,0.3084080318628044,2.4783655864791947,1.8396349725096286,0.18738856094409026,0.372606224258383,0.012868380826654993,0.8121624834911821,0.4395562592327991,1.4322744709380528,2.4783655864791947,0.27223170178460493,0.7111111111111111,0.0,11.0,0.0,0.1389010989010989,0.00010673205057779948,0.04989926983305611,4.1043965493721306e-26,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,LightGBM,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/unseen_drug,light_resume,fill_missing_only,0.4791258771654454,0.5395500039130143,0.3345082146984338,2.4224762106047995,1.8626019153655458,0.27857671285762653,0.32090550414182684,0.0,0.8000313813072722,0.4791258771654454,1.4230276356839369,2.4224762106047995,0.14390192145156666,0.6,0.0,10.0,0.0,0.20408163265306123,0.2929506301879883,0.05345776503633326,8.748190174842379e-49,False,,,False,True,True
ML,luad,2C_numeric_smiles_context,LightGBM,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/LightGBM/cv,light_resume,fill_missing_only,0.7926872983769182,0.8550750521141591,0.6092471393393664,1.5045312404784543,1.1647112872004621,0.702658537423381,0.003281827797486647,0.002414543876444171,0.7959691261744047,0.7926872983769182,1.4943570341526276,1.5045312404784543,0.7770020021735616,1.0,295.0,220.0,1.0,1.0,0.0,0.004448802889330056,0.6450500009263341,False,,,False,True,True
