modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,luad,2C_numeric_smiles_context,CatBoost,groupcv,0.3531877279496946,0.06376786491150685,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/CatBoost/groupcv
ML,luad,2C_numeric_smiles_context,CatBoost,unseen_drug,0.3618415320197354,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/CatBoost/unseen_drug
ML,luad,2B_numeric_smiles,XGBoost,scaffoldcv,0.34630988847357275,0.07405144409308705,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/scaffoldcv
ML,luad,2B_numeric_smiles,XGBoost,groupcv,0.36569984989967846,0.02129312726842547,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/groupcv
ML,luad,2B_numeric_smiles,XGBoost,unseen_drug,0.3207241316142552,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/XGBoost/unseen_drug
ML,luad,2B_numeric_smiles,RandomForest,scaffoldcv,0.5202985157832972,0.003877495409415494,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/RandomForest/scaffoldcv
ML,luad,2B_numeric_smiles,RandomForest,groupcv,0.5067165996811361,0.05623720780703356,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/RandomForest/groupcv
ML,luad,2B_numeric_smiles,RandomForest,unseen_drug,0.38577147302329806,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/RandomForest/unseen_drug
ML,luad,2B_numeric_smiles,ExtraTrees,scaffoldcv,0.5153716356405913,0.047649097912649,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/ExtraTrees/scaffoldcv
ML,luad,2B_numeric_smiles,ExtraTrees,groupcv,0.5463090881180519,0.07583577785825141,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/ExtraTrees/groupcv
ML,luad,2B_numeric_smiles,ExtraTrees,unseen_drug,0.4911562286059262,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/ExtraTrees/unseen_drug
ML,luad,2B_numeric_smiles,LightGBM,scaffoldcv,0.3860335700346907,0.10672812832818751,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/LightGBM/scaffoldcv
ML,luad,2B_numeric_smiles,LightGBM,groupcv,0.3697716652429765,0.031190952537505097,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/LightGBM/groupcv
ML,luad,2B_numeric_smiles,LightGBM,unseen_drug,0.32063907106438777,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/LightGBM/unseen_drug
ML,luad,2B_numeric_smiles,CatBoost,scaffoldcv,0.32619506678808263,0.04952184542352326,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/CatBoost/scaffoldcv
ML,luad,2B_numeric_smiles,CatBoost,groupcv,0.3584074424758423,0.03786755110992534,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/CatBoost/groupcv
ML,luad,2B_numeric_smiles,CatBoost,unseen_drug,0.3866206123755069,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2B_numeric_smiles/CatBoost/unseen_drug
ML,brca,2C_numeric_smiles_context,XGBoost,scaffoldcv,0.4981478242534753,0.17013132643764464,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/scaffoldcv
ML,brca,2C_numeric_smiles_context,XGBoost,groupcv,0.3592105905257817,0.0720067435313472,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/groupcv
